id,title,description,short_description,programming_language,difficulty_level,xp,time_needed_in_hours,topic_id,technology_id,content_area,link,image_url,last_updated_on,nb_of_subscriptions,num_chapters,num_exercises,num_videos,datasets_count,instructors_names,collaborators_names,tracks_titles,prerequisites_titles
11,Understanding Data Engineering,"In 2019, the average salary for data engineers overtook data scientists. How did this happen? Companies wanting to find the gold within their data realized it wasn’t possible if they hadn’t yet built the mine. Data engineers lay the foundations that make data science possible. In this course, you’ll learn about a data engineer’s core responsibilities, how they differ from data scientists, and facilitate the flow of data through an organization. Through hands-on exercises you’ll follow Spotflix, a fictional music streaming company, to understand how their data engineers collect, clean, and catalog their data. By the end of the course, you’ll understand what your company's data engineers do, be ready to have a conversation with a data engineer, and have a solid foundation to start your own data engineer journey. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Discover how data engineers lay the groundwork that makes data science possible. No coding involved!,r,1,2300,2,14.0,7,Data Engineering,https://www.datacamp.com/courses/understanding-data-engineering,https://assets.datacamp.com/production/course_24907/shields/thumb/shield_image_course_24907_20201221-1-1yjhk3k?1608544818,17/09/2025,304088,3,32,11,2,Hadrien Lacroix,Lis Sulmont; Richie Cotton,Associate Data Engineer in SQL; Data Analyst in Databricks; Understanding Data Topics,
12,Working with the OpenAI API,"Over recent years, OpenAI has emerged as a market leader in creating AI models, such as GPT-4o, and releasing them to the wider community in applications like ChatGPT. These models can transform not only the way you work but also the products and services that businesses provide to customers. To begin extracting business value from OpenAI's models, you'll need to learn to work with their Application Programming Interface, or API. In this course, you'll gain hands-on experience working with the OpenAI API in Python, and will explore the wide range of functionality that the API provides. By the end of the course, you'll have the skills and knowledge needed to leverage the power of the OpenAI API to develop solutions to real-world problems. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Start your journey developing AI-powered applications with the OpenAI API. Learn about the functionality that underpins popular AI applications like ChatGPT.,python,1,2400,3,16.0,25,Artificial Intelligence,https://www.datacamp.com/courses/working-with-the-openai-api,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,74243,3,29,9,1,James Chapman; Eduardo Oliveira,Amy Peterson; Stan Konkin,Associate AI Engineer for Developers; Developing AI Applications; OpenAI Fundamentals,Intermediate Python
13,Generative AI Concepts,"Artificial Intelligence (AI) is reshaping our world like never before. Generative AI is a type of AI that can create new content from text, images, and more. In this no-coding course, you'll learn about the exciting concepts in this emerging field and how to prepare for a future where AI becomes widely adopted. You'll start by comprehending how these models create content, where they fit into the machine learning landscape, and how they are developed. Given the power of generative AI, you will also consider how laws and ethics play with these models, learning how to avoid bias and use generative AI responsibly. Finally, you’ll look at the future of generative AI and how we can leverage and collaborate effectively with these tools. After this course, you, too, will be able to unlock the creative capabilities of generative AI. Let's go! The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Discover how to begin responsibly leveraging generative AI. Learn how generative AI models are developed and how they will impact society moving forward.,r,1,2750,2,16.0,7,Artificial Intelligence,https://www.datacamp.com/courses/generative-ai-concepts,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,69470,4,43,14,1,Daniel Tedesco,Amy Peterson; James Chapman,AI Fundamentals,Understanding Machine Learning
14,Introduction to Data,"Data is an exciting and growing field that plays a significant role in all our lives, even in artificial intelligence. Whether you're just starting or curious about how data shapes the world around you, this course is your gateway to understanding it all. From exploring the basics of data, including types, structures, and how valuable it can be in decision-making, to learning about the DIKW framework used to describe the relationship between data, information, knowledge, and wisdom, his course will guide you through the essential concepts that shape today's data-driven world. You'll wrap up the course with a discussion on data ethics and common data mistakes. You'll leave with a better understanding of how data works, why it matters, and how to navigate it responsibly—whether in your studies, work, or everyday life.","Gain an introduction to data in this hands-on course. Learn the basics of data types and structures, the DIKW framework, data ethics and more.",r,1,2000,2,17.0,7,Data Literacy and Essentials,https://www.datacamp.com/courses/introduction-to-data,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,110693,3,31,10,0,Maarten Van den Broeck; Joe Franklin,Carl Rosseel; Sohail Ahmed,Data Literacy Professional; Data Skills for Business,
15,Understanding Data Visualization,"Visualizing data using charts, graphs, and maps is one of the most impactful ways to communicate complex data. In this course, you’ll learn how to choose the best visualization for your dataset, and how to interpret common plot types like histograms, scatter plots, line plots and bar plots. You'll also learn about best practices for using colors and shapes in your plots, and how to avoid common pitfalls. Through hands-on exercises, you'll visually explore over 20 datasets including global life expectancies, Los Angeles home prices, ESPN's 100 most famous athletes, and the greatest hip-hop songs of all time. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",An introduction to data visualization with no coding involved.,r,1,2400,2,4.0,7,Data Literacy and Essentials,https://www.datacamp.com/courses/understanding-data-visualization,https://assets.datacamp.com/production/course_24372/shields/thumb/shield_image_course_24372_20220914-1-ttlvpr?1663160843,17/09/2025,227694,4,41,14,0,Richie Cotton,Lis Sulmont,Associate Data Analyst in SQL; Associate Data Engineer in SQL; Understanding Data Topics,
16,Large Language Models (LLMs) Concepts,"In this course, you’ll journey through the world of Large Language Models (LLMs) and discover how they are reshaping the AI landscape. You’ll see how they revolutionize businesses and everyday life with real-world examples and learn about their building block. As you progress, you’ll gain insights into the training methodologies too. Finally, you’ll tackle the critical ethical and environmental considerations for LLMs and see what the future of LLMs could look like. By the end of this course, you'll have a comprehensive understanding of LLMs, their capabilities, applications, and challenges.","Discover the full potential of LLMs with our conceptual course covering LLM applications, training methodologies, ethical considerations, and latest research.",r,1,3300,2,16.0,7,Artificial Intelligence,https://www.datacamp.com/courses/large-language-models-llms-concepts,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,66747,4,50,15,0,Vidhi Chugh,Amy Peterson; James Chapman; Jasmin Ludolf,AI Fundamentals,Understanding Machine Learning
17,AI Ethics,"This introductory course on AI ethics provides a comprehensive overview of ethical considerations in the fast-paced domain of artificial intelligence. The course spans industry, policy-making, academia, and society at large, covering principles of AI ethics, strategies to foster fair and equitable AI systems, approaches to minimize biases, and methods to address key issues and establish user trust. Throughout the course, you will learn about the core principles of ethical AI and expand your understanding of common challenges and opportunities in the field of AI ethics. Through hands-on exercises, you will build your skills to craft ethical AI by design. Begin Learning today! The videos contain live transcripts you can reveal by clicking ""Show transcript"" at the bottom left of the videos. The course glossary, promotional material and detailed learning objectives can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.","Explore AI ethics focusing on principles, fairness, bias reduction, and trust in AI design.",r,1,1900,1,16.0,7,Artificial Intelligence,https://www.datacamp.com/courses/ai-ethics,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,48015,3,30,11,1,Joe Franklin,Joanne Xiong,AI Business Fundamentals; AI Fundamentals; Developing AI Applications; EU AI Act Fundamentals; Responsible AI Foundations,
18,Introduction to Statistics in Python,"Statistics is the study of how to collect, analyze, and draw conclusions from data. It’s a hugely valuable tool that you can use to bring the future into focus and infer the answer to tons of questions. For example, what is the likelihood of someone purchasing your product, how many calls will your support team receive, and how many jeans sizes should you manufacture to fit 95% of the population? In this course, you'll discover how to answer questions like these as you grow your statistical skills and learn how to calculate averages, use scatterplots to show the relationship between numeric values, and calculate correlation. You'll also tackle probability, the backbone of statistical reasoning, and learn how to use Python to conduct a well-designed study to draw your own conclusions from data.","Grow your statistical skills and learn how to collect, analyze, and draw accurate conclusions from data using Python.",python,2,4250,4,7.0,2,Data Science and Analytics,https://www.datacamp.com/courses/introduction-to-statistics-in-python,https://assets.datacamp.com/production/course_25412/shields/thumb/shield_image_course_25412_20250509-1-12ymtb3?1746777000,17/09/2025,160474,4,54,15,3,Maggie Matsui,Adel Nehme,Associate Data Scientist  in Python; Data Analyst  in Python; Python Data Fundamentals; Statistics Fundamentals  in Python,Data Manipulation with pandas
19,Understanding Machine Learning,"What's behind the machine learning hype? In this non-technical course, you’ll learn everything you’ve been too afraid to ask about machine learning. There’s no coding required. Hands-on exercises will help you get past the jargon and learn how this exciting technology powers everything from self-driving cars to your personal Amazon shopping suggestions. How does machine learning work, when can you use it, and what is the difference between AI and machine learning? They’re all covered. Gain skills in this hugely in-demand and influential field, and discover why machine learning is for everyone!",An introduction to machine learning with no coding involved.,r,1,2350,2,6.0,7,Data Science and Analytics,https://www.datacamp.com/courses/understanding-machine-learning,https://assets.datacamp.com/production/course_24252/shields/thumb/shield_image_course_24252_20210210-1-vy4sp5?1612968611,17/09/2025,254045,3,36,12,0,Hadrien Lacroix; Sara Billen; Lis Sulmont,,AI Fundamentals; Understanding Data Topics,
20,Exploratory Data Analysis in Python,"So you’ve got some interesting data - where do you begin your analysis? This course will cover the process of exploring and analyzing data, from understanding what’s included in a dataset to incorporating exploration findings into a data science workflow. Using data on unemployment figures and plane ticket prices, you’ll leverage Python to summarize and validate data, calculate, identify and replace missing values, and clean both numerical and categorical values. Throughout the course, you’ll create beautiful Seaborn visualizations to understand variables and their relationships. For example, you’ll examine how alcohol use and student performance are related. Finally, the course will show how exploratory findings feed into data science workflows by creating new features, balancing categorical features, and generating hypotheses from findings. By the end of this course, you’ll have the confidence to perform your own exploratory data analysis (EDA) in Python.You’ll be able to explain your findings visually to others and suggest the next steps for gathering insights from your data!","Learn how to explore, visualize, and extract insights from data using exploratory data analysis (EDA) in Python.",python,2,4150,4,19.0,2,Data Science and Analytics,https://www.datacamp.com/courses/exploratory-data-analysis-in-python,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,85057,4,49,14,5,George Boorman; Izzy Weber,Amy Peterson; Maham Khan,Associate Data Scientist  in Python; Data Analyst  in Python; Python Data Fundamentals,Introduction to Statistics in Python; Introduction to Data Visualization with Seaborn
21,Joining Data with pandas,"Being able to combine and work with multiple datasets is an essential skill for any aspiring Data Scientist. pandas is a crucial cornerstone of the Python data science ecosystem, with Stack Overflow recording 5 million views for pandas questions. Learn to handle multiple DataFrames by combining, organizing, joining, and reshaping them using pandas. You'll work with datasets from the World Bank and the City Of Chicago. You will finish the course with a solid skillset for data-joining in pandas.",Learn to combine data from multiple tables by joining data together using pandas.,python,2,4050,4,3.0,2,Data Science and Analytics,https://www.datacamp.com/courses/joining-data-with-pandas,https://assets.datacamp.com/production/course_22639/shields/thumb/shield_image_course_22639_20240821-1-6n9hop?1724226115,17/09/2025,194673,4,51,15,23,Aaren Stubberfield,Maggie Matsui; Amy Peterson,Associate Data Scientist  in Python; Data Analyst  in Python; Data Manipulation  in Python; Python Data Fundamentals,Data Manipulation with pandas
22,Introduction to Importing Data in Python,"As a data scientist, you will need to clean data, wrangle and munge it, visualize it, build predictive models, and interpret these models. Before you can do so, however, you will need to know how to get data into Python. In this course, you'll learn the many ways to import data into Python: from flat files such as .txt and .csv; from files native to other software such as Excel spreadsheets, Stata, SAS, and MATLAB files; and from relational databases such as SQLite and PostgreSQL.","Learn to import data into Python from various sources, such as Excel, SQL, SAS and right from the web.",python,1,3900,3,18.0,2,Data Science and Analytics,https://www.datacamp.com/courses/introduction-to-importing-data-in-python,https://assets.datacamp.com/production/course_1607/shields/thumb/shield_image_course_1607_20200213-1-msr2iu?1581605068,17/09/2025,319449,3,50,15,9,Hugo Bowne-Anderson,Francisco Castro,Associate Data Scientist  in Python; Data Engineer in Python; Importing & Cleaning Data  in Python,Intermediate Python
23,Introduction to Data Visualization with Matplotlib,"Visualizing data in plots and figures exposes the underlying patterns in the data and provides insights. Good visualizations also help you communicate your data to others, and are useful to data analysts and other consumers of the data. In this course, you will learn how to use Matplotlib, a powerful Python data visualization library. Matplotlib provides the building blocks to create rich visualizations of many different kinds of datasets. You will learn how to create visualizations for different kinds of data and how to customize, automate, and share these visualizations.","Learn how to create, customize, and share data visualizations using Matplotlib.",python,1,3600,4,4.0,2,Data Science and Analytics,https://www.datacamp.com/courses/introduction-to-data-visualization-with-matplotlib,https://assets.datacamp.com/production/course_13706/shields/thumb/shield_image_course_13706_20230328-1-1u9h9bh?1680016814,17/09/2025,212104,4,44,14,5,Ariel Rokem,Chester Ismay; Amy Peterson,Associate Data Scientist  in Python; Data Visualization in Python,Introduction to Python
24,Introduction to Deep Learning with PyTorch,"Deep learning is everywhere, from smartphone cameras to voice assistants or self-driving cars. In this course, you will discover this powerful technology and learn how to leverage it using PyTorch, one of the most popular deep learning libraries. By the end of this course, you will be able to leverage PyTorch to solve classification and regression problems using deep learning.","Learn how to build your first neural network, adjust hyperparameters, and tackle classification and regression problems in PyTorch.",python,2,3900,4,16.0,27,Artificial Intelligence,https://www.datacamp.com/courses/introduction-to-deep-learning-with-pytorch,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,62344,4,49,16,2,Jasmin Ludolf; Thomas Hossler,Amy Peterson; James Chapman; George Boorman; Maham Khan,Associate AI Engineer for Data Scientists; Deep Learning in Python; Machine Learning Fundamentals in Python; Machine Learning Scientist in Python,Supervised Learning with scikit-learn; Introduction to NumPy; Python Toolbox
25,Cleaning Data in Python,"It's commonly said that data scientists spend 80% of their time cleaning and manipulating data and only 20% of their time analyzing it. The time spent cleaning is vital since analyzing dirty data can lead you to draw inaccurate conclusions. Data cleaning is an essential task in data science. Without properly cleaned data, the results of any data analysis or machine learning model could be inaccurate. In this course, you will learn how to identify, diagnose, and treat a variety of data cleaning problems in Python, ranging from simple to advanced. You will deal with improper data types, check that your data is in the correct range, handle missing data, perform record linkage, and more!",Learn to diagnose and treat dirty data and develop the skills needed to transform your raw data into accurate insights!,python,2,3500,4,18.0,2,Data Science and Analytics,https://www.datacamp.com/courses/cleaning-data-in-python,https://assets.datacamp.com/production/course_24364/shields/thumb/shield_image_course_24364_20240820-1-awpf2y?1724145061,17/09/2025,140166,4,44,13,5,Adel Nehme,Maggie Matsui; Amy Peterson; Richie Cotton,Associate Data Scientist  in Python; Data Engineer in Python; Importing & Cleaning Data  in Python,Python Toolbox; Joining Data with pandas
26,Introduction to Data Visualization with Seaborn,"Seaborn is a powerful Python library that makes it easy to create informative and attractive data visualizations. This 4-hour course provides an introduction to how you can use Seaborn to create a variety of plots, including scatter plots, count plots, bar plots, and box plots, and how you can customize your visualizations. You’ll explore this library and create Seaborn plots based on a variety of real-world data sets, including exploring how air pollution in a city changes through the day and looking at what young people like to do in their free time. This data will give you the opportunity to find out about Seaborn’s advantages first hand, including how you can easily create subplots in a single figure and how to automatically calculate confidence intervals. By the end of this course, you’ll be able to use Seaborn in various situations to explore your data and effectively communicate the results of your data analysis to others. These skills are highly sought-after for data analysts, data scientists, and any other job that may involve creating data visualizations. If you’d like to continue your learning, this course is part of several tracks, including the Data Visualization track, where you can add more libraries and techniques to your skillset.",Learn how to create informative and attractive visualizations in Python using the Seaborn library.,python,1,3700,4,4.0,2,Data Science and Analytics,https://www.datacamp.com/courses/introduction-to-data-visualization-with-seaborn,https://assets.datacamp.com/production/course_15192/shields/thumb/shield_image_course_15192_20240712-1-ykgtx4?1720799088,17/09/2025,159213,4,44,14,4,DataCamp Content Creator,Yashas Roy; Mona Khalil,Associate Data Scientist  in Python; Data Analyst  in Python; Data Visualization in Python; Python Data Fundamentals,Introduction to Data Science in Python
27,Introduction to Functions in Python,"It's time to push forward and develop your Python chops even further. Python has tons of fantastic functions and a module ecosystem. However, as a data professional or developer, you'll constantly need to write your own functions to solve problems that are dictated by your data. You will learn the art of function writing in this first course. You'll come out of this course being able to write your very own custom functions, complete with multiple parameters and multiple return values, along with default arguments and variable-length arguments. You'll gain insight into scoping in Python, be able to write lambda functions and handle errors in your function writing practice. You'll wrap up each chapter by using your new skills to write functions that analyze Twitter data.","Learn the art of writing your own functions in Python, as well as key concepts like scoping and error handling.",python,1,3550,3,10.0,2,Data Science and Analytics,https://www.datacamp.com/courses/introduction-to-functions-in-python,https://assets.datacamp.com/production/course_1532/shields/thumb/shield_image_course_1532_20250424-1-17r86gb?1745493530,17/09/2025,449436,3,44,10,1,Hugo Bowne-Anderson,Francisco Castro,Associate Data Scientist  in Python,Intermediate Python
